,n_epochs,batch_size,h,w,lr,optimizer,momentum,device,n_gpus,kernel_size,flatten,model,num_blocks_list,is_batchnorm,total_parameters,40X,100X,200X,400X,avg_acc,all_acc,log_name,weight_decay,h_dim_list,use_pooling,num_kernel_conv_list
86,10,32,224,224,0.001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",False,21850818,81.2,76.2,87.1,78.85,80.84,80.85,v2_resnet_epoch10_lr0.001_2023-12-03_12-48-15.log,,,,
87,20,32,224,224,1e-05,sgd,0.9,cuda:0,1,,,MLP,,,12048492,78.95,74.76,85.36,80.77,79.96,79.9,MLP_epoch20_lr1e-05_2023-12-04_03-06-53.log,0.0,"[80, 50, 40]",,
88,20,32,224,224,0.001,adam,0.9,cuda:0,1,,,MLP,,,12048492,77.94,72.84,82.38,78.57,77.93,77.88,MLP_epoch20_lr0.001_2023-12-03_21-06-12.log,0.001,"[80, 50, 40]",,
89,20,32,224,224,0.001,sgd,0.9,cuda:0,1,,,MLP,,,12048492,68.67,68.75,71.96,70.6,70.0,69.97,MLP_epoch20_lr0.001_2023-12-03_20-46-14.log,0.0,"[80, 50, 40]",,
90,20,32,224,224,0.001,sgd,0.9,cuda:0,1,,,MLP,,,12048492,68.67,68.75,71.96,70.33,69.93,69.91,MLP_epoch20_lr0.001_2023-12-03_21-31-22.log,0.001,"[80, 50, 40]",,
91,10,32,224,224,1e-05,sgd,0.9,cuda:1,1,3.0,,CNN,,,193602,68.67,68.75,72.21,69.78,69.85,69.85,CNN_epoch10_lr1e-05_2023-12-04_02-27-27.log,0.0,,True,"[32, 64, 64, 64]"
92,20,32,224,224,1e-05,sgd,0.9,cuda:0,1,,,MLP,,,12052037,68.67,68.75,72.21,69.78,69.85,69.85,MLP_epoch20_lr1e-05_2023-12-04_03-06-45.log,0.0,"[80, 50, 50, 40, 25]",,
93,20,32,224,224,0.0001,sgd,0.9,cuda:0,1,,,MLP,,,12052037,68.67,68.75,72.21,69.78,69.85,69.85,MLP_epoch20_lr0.0001_2023-12-03_21-48-48.log,0.0,"[80, 50, 50, 40, 25]",,
94,20,32,224,224,0.001,sgd,0.9,cuda:0,1,,,MLP,,,12052037,31.33,31.25,27.79,30.22,30.15,30.15,MLP_epoch20_lr0.001_2023-12-03_21-03-43.log,0.0,"[80, 50, 50, 40, 25]",,
95,20,32,224,224,0.001,sgd,0.9,cuda:0,1,,,MLP,,,12048492,31.33,31.25,27.79,30.22,30.15,30.15,MLP_epoch20_lr0.001_2023-12-03_21-10-02.log,0.0,"[80, 50, 40]",,
96,20,32,224,224,0.0001,sgd,0.9,cuda:0,1,,,MLP,,,12048492,31.33,31.25,27.79,30.22,30.15,30.15,MLP_epoch20_lr0.0001_2023-12-03_22-27-45.log,0.001,"[80, 50, 40]",,
97,20,32,224,224,0.001,sgd,0.9,cuda:0,1,,,MLP,,,12052037,31.33,31.25,27.79,30.22,30.15,30.15,MLP_epoch20_lr0.001_2023-12-03_21-24-29.log,0.001,"[80, 50, 50, 40, 25]",,
98,20,32,224,224,0.0001,sgd,0.9,cuda:0,1,,,MLP,,,12048492,31.33,31.25,27.79,30.22,30.15,30.15,MLP_epoch20_lr0.0001_2023-12-03_21-58-37.log,0.0,"[80, 50, 40]",,
